User_Id,Age,Gender,City,Device_Type,Avg_Session_Time,Pages_Visited,Course_Category,Subscription_Type,Last_Activity_Days,Email_Click_Rate,Previous_Purchases,Support_Tickets,Satisfaction_Score,Churn
70,40,Female,Mumbai,Tablet,8.08,15,AI/ML,Free,35,0.15,9,1,2,0
71,57,Other,Hyderabad,Mobile,22.4,14,Design,Basic,32,0.05,9,3,4,1
72,38,Female,Delhi,Desktop,22.35,1,Business,Basic,35,0.03,3,1,5,0
73,33,Female,Bangalore,Tablet,9.02,2,Web Dev,Premium,25,0.1,7,4,2,0
74,35,Female,Hyderabad,Mobile,26.3,4,Web Dev,Free,28,0.38,7,1,5,1
75,41,Other,Mumbai,Desktop,20.96,13,Data Science,Free,28,0.97,1,4,1,0
76,43,Male,Mumbai,Tablet,11.03,10,Business,Free,34,0.35,7,0,3,0
77,42,Male,Delhi,Tablet,13.4,13,Web Dev,Premium,2,0.45,4,1,2,0
78,58,Male,Chennai,Tablet,22.07,1,AI/ML,Free,45,0.81,1,3,5,0
79,46,Male,Chennai,Mobile,7.14,11,Business,Premium,4,0.92,5,0,2,0
80,32,Male,Mumbai,Tablet,14.59,18,AI/ML,Free,32,0.97,7,2,2,1
81,18,Other,Chennai,Mobile,19.95,9,Data Science,Basic,10,0.83,3,3,1,0
82,42,Other,Bangalore,Desktop,16.65,6,Data Science,Free,5,0.5,9,1,2,0
83,24,Other,Chennai,Mobile,18.64,13,Design,Premium,1,0.23,8,1,3,0
84,26,Other,Bangalore,Mobile,16.84,5,AI/ML,Premium,12,0.6,7,3,2,1
85,41,Other,Mumbai,Desktop,6.78,10,AI/ML,Basic,0,0.2,6,2,1,0
86,18,Other,Mumbai,Mobile,12.9,5,Data Science,Basic,26,0.06,6,2,4,1
87,25,Other,Mumbai,Mobile,16.43,10,AI/ML,Premium,39,0.92,7,0,1,1
88,41,Male,Delhi,Desktop,23.62,5,Business,Free,41,0.48,6,3,1,0
89,28,Female,Chennai,Tablet,19.96,11,Design,Basic,14,0.51,0,4,5,1
90,34,Other,Hyderabad,Desktop,13.37,5,Design,Basic,34,0.61,4,3,5,0
91,25,Female,Hyderabad,Tablet,29.26,5,Business,Free,29,0.45,1,2,4,0
92,52,Other,Mumbai,Mobile,4.13,17,Web Dev,Premium,5,0.44,4,2,3,1
93,52,Other,Chennai,Desktop,7,5,AI/ML,Basic,33,0.92,4,0,2,0
94,50,Male,Bangalore,Tablet,10.9,1,Web Dev,Basic,20,0.82,5,3,1,1
95,22,Female,Hyderabad,Mobile,7.63,13,Web Dev,Premium,31,0.21,5,1,4,1
96,59,Male,Mumbai,Mobile,19.14,4,AI/ML,Free,56,0.29,5,4,3,0
97,56,Male,Hyderabad,Mobile,2.15,8,Data Science,Free,54,0.66,6,3,2,1
98,58,Female,Hyderabad,Tablet,6.15,6,AI/ML,Basic,19,0.57,1,4,5,0
99,45,Male,Hyderabad,Tablet,9.51,15,Data Science,Premium,34,0.77,3,3,4,0
100,24,Other,Mumbai,Tablet,20.82,15,Business,Free,8,0.73,4,2,1,1
101,26,Other,Mumbai,Mobile,26.4,16,Data Science,Premium,51,0.71,9,4,4,0
102,25,Other,Delhi,Tablet,24.16,9,Web Dev,Basic,36,0.88,6,3,2,0
103,29,Other,Delhi,Desktop,6.28,5,Web Dev,Free,5,0.77,1,1,1,0
104,51,Other,Delhi,Tablet,17.4,16,Web Dev,Premium,9,0.24,7,2,1,1
105,50,Male,Hyderabad,Tablet,1.87,7,Data Science,Premium,52,0.87,1,1,3,0
106,40,Male,Chennai,Mobile,10.01,3,Web Dev,Basic,8,0.34,4,0,1,0
107,41,Other,Mumbai,Desktop,24.37,10,Design,Free,32,0.91,8,0,2,0
108,54,Other,Delhi,Desktop,14.24,16,AI/ML,Basic,58,0.82,1,0,2,1
109,52,Male,Chennai,Desktop,5.35,12,Web Dev,Basic,15,0.07,1,2,2,0
110,57,Female,Delhi,Tablet,13.72,9,Data Science,Free,31,0.77,1,1,1,0
111,39,Male,Delhi,Mobile,6.74,16,Web Dev,Premium,37,0.5,6,3,5,0
112,44,Male,Chennai,Tablet,12.4,9,Data Science,Premium,47,0.98,4,2,4,0
113,52,Male,Delhi,Mobile,15.15,7,AI/ML,Premium,19,0.46,8,3,2,0
114,18,Male,Hyderabad,Desktop,11.14,11,Data Science,Free,19,0.07,3,2,3,0
115,52,Male,Hyderabad,Tablet,28.17,17,AI/ML,Basic,2,0.29,0,4,3,1
116,54,Female,Hyderabad,Mobile,17.31,10,Web Dev,Premium,13,0.43,7,0,1,0
117,31,Other,Bangalore,Tablet,25.44,15,Design,Premium,20,0.59,5,0,1,0
118,20,Other,Delhi,Mobile,23.06,10,Web Dev,Free,7,0.15,8,4,3,0
119,18,Female,Bangalore,Desktop,20.17,2,AI/ML,Free,51,0.52,2,1,1,0
120,22,Other,Mumbai,Tablet,15.41,16,Business,Basic,54,0.48,9,0,3,1
121,43,Other,Chennai,Desktop,1.06,7,Business,Basic,45,0.84,6,0,4,0
122,31,Other,Mumbai,Tablet,18.79,15,Business,Premium,23,0.3,0,1,5,0
123,56,Female,Bangalore,Tablet,11.32,17,Web Dev,Premium,46,0.45,1,1,2,0
124,44,Female,Hyderabad,Mobile,4.42,13,Data Science,Free,20,0.39,4,4,4,1
125,26,Other,Delhi,Mobile,13.89,19,Design,Basic,41,0.63,9,0,1,1
126,32,Other,Delhi,Mobile,22.33,8,Design,Premium,31,0.84,1,4,4,0
127,32,Other,Hyderabad,Desktop,28.89,9,Web Dev,Free,16,0.68,7,2,5,0
128,43,Male,Delhi,Desktop,11.85,19,AI/ML,Basic,39,0.47,4,1,3,0
129,59,Male,Chennai,Tablet,16.74,17,Web Dev,Basic,57,0.64,8,1,3,0
130,30,Male,Chennai,Mobile,25.69,10,Business,Basic,50,0.32,2,0,3,0
131,49,Female,Chennai,Desktop,10.69,14,AI/ML,Free,3,0.14,5,3,1,1
132,56,Other,Mumbai,Tablet,5.13,12,Design,Basic,41,0.32,3,4,5,0
133,49,Female,Hyderabad,Desktop,9.17,7,Web Dev,Free,22,0.44,6,1,5,0
134,21,Female,Chennai,Tablet,27.07,9,Data Science,Free,56,0.44,6,1,1,1
135,47,Female,Bangalore,Mobile,5.62,18,Data Science,Free,35,0.74,4,0,2,0
136,54,Other,Chennai,Tablet,10.55,7,Design,Basic,51,0.94,9,0,3,0
137,40,Male,Mumbai,Tablet,14.47,4,AI/ML,Premium,21,0.39,4,3,4,0
138,56,Other,Bangalore,Mobile,25.57,8,Business,Premium,24,0.09,3,2,4,0
139,32,Other,Hyderabad,Mobile,28.19,18,Data Science,Free,3,0.03,8,2,4,0
140,46,Female,Hyderabad,Tablet,13.35,15,Data Science,Free,9,0,6,0,2,0
141,53,Female,Chennai,Desktop,28.03,7,Web Dev,Premium,23,0.94,5,3,1,0
142,30,Female,Bangalore,Mobile,5.68,8,Design,Basic,34,1,2,0,1,0
143,49,Male,Bangalore,Tablet,5.55,1,Data Science,Premium,49,0.05,4,2,3,0
144,24,Male,Chennai,Mobile,28.53,11,Web Dev,Premium,13,0.36,3,4,2,1
145,39,Male,Chennai,Mobile,15.78,10,AI/ML,Basic,19,0.67,4,1,4,0
146,45,Other,Delhi,Desktop,6.39,5,Data Science,Free,45,0.18,1,1,1,1
147,19,Female,Delhi,Mobile,15.15,2,Design,Premium,51,0.59,4,3,2,0
148,59,Other,Chennai,Tablet,23.71,2,Web Dev,Free,54,0.81,6,2,5,1
149,23,Male,Mumbai,Tablet,24.98,19,AI/ML,Basic,13,0.86,9,3,2,1
150,45,Female,Delhi,Mobile,26.06,16,Web Dev,Basic,38,0.71,9,3,3,0
151,45,Male,Chennai,Mobile,17.52,11,Business,Basic,8,0.08,2,3,4,0
152,37,Female,Bangalore,Desktop,26.14,14,Design,Basic,57,0.35,3,1,1,1
153,47,Female,Delhi,Desktop,15.79,5,Design,Basic,33,0.97,0,3,1,1
154,28,Other,Mumbai,Desktop,18.6,4,Data Science,Free,19,0.19,8,2,5,0
155,45,Other,Hyderabad,Tablet,23,19,Web Dev,Basic,2,0.45,2,2,5,0
156,42,Male,Bangalore,Desktop,13.34,10,AI/ML,Free,11,0.33,9,4,5,1
157,56,Other,Mumbai,Tablet,3.13,9,Data Science,Basic,50,0.21,5,2,3,0
158,50,Other,Mumbai,Desktop,11.15,18,Design,Free,47,0.32,0,1,4,0
159,18,Other,Mumbai,Tablet,19.09,5,Web Dev,Basic,38,0.19,4,2,5,0
160,44,Female,Bangalore,Mobile,6.58,17,AI/ML,Basic,11,0.88,9,0,4,1
161,30,Other,Mumbai,Tablet,5.3,18,Design,Free,41,0.17,4,3,4,0
162,58,Male,Hyderabad,Mobile,9.5,1,AI/ML,Premium,21,0.62,4,4,5,0
163,20,Female,Delhi,Tablet,1.93,14,Web Dev,Basic,34,0.94,0,0,4,0
164,56,Female,Bangalore,Tablet,22.56,14,AI/ML,Free,39,0.95,6,2,1,0
165,23,Other,Mumbai,Mobile,8.5,14,Data Science,Free,30,0.6,4,2,4,1
166,25,Female,Chennai,Tablet,4.6,1,Data Science,Premium,55,0.27,0,3,4,0
167,44,Male,Delhi,Tablet,21.27,4,Web Dev,Basic,6,0.25,7,3,1,0
168,26,Male,Bangalore,Desktop,25.44,7,Design,Premium,8,0.75,5,1,1,0
169,54,Female,Chennai,Mobile,1.58,12,Business,Free,50,0.98,6,4,2,0
170,50,Other,Chennai,Mobile,7.77,13,Business,Basic,36,0.08,3,1,2,0
171,59,Other,Mumbai,Desktop,28.41,15,Business,Premium,21,0.79,0,2,5,0
172,41,Female,Bangalore,Desktop,12.17,2,Design,Basic,8,0.12,7,4,3,0
173,32,Male,Mumbai,Mobile,28.22,14,Data Science,Free,15,0.3,0,4,4,0
174,49,Female,Hyderabad,Mobile,8.95,12,Data Science,Premium,51,0.57,8,1,4,0
175,49,Other,Chennai,Mobile,7.32,13,Data Science,Free,20,0.3,5,2,3,0
176,41,Other,Hyderabad,Desktop,7.21,14,Web Dev,Free,8,0.65,4,2,5,1
177,58,Female,Mumbai,Desktop,3.47,3,Data Science,Premium,11,0.42,1,1,4,0
178,29,Male,Delhi,Tablet,27,13,Data Science,Premium,26,0.22,7,4,2,1
179,56,Female,Chennai,Desktop,29.42,8,Data Science,Premium,51,0.53,8,4,4,0
180,19,Male,Delhi,Tablet,28.68,16,Business,Free,46,0.02,2,0,1,0
181,20,Male,Bangalore,Tablet,25.71,6,AI/ML,Basic,49,0.74,9,1,4,1
182,54,Female,Chennai,Desktop,25.56,11,Data Science,Basic,8,0.52,7,2,4,1
183,34,Female,Hyderabad,Desktop,20.17,15,AI/ML,Basic,26,0.95,9,0,1,1
184,19,Male,Delhi,Desktop,24.96,19,Data Science,Basic,27,0.1,4,1,2,0
185,19,Male,Bangalore,Desktop,7.04,2,Business,Basic,34,0.73,9,4,1,0
186,45,Male,Chennai,Mobile,12.25,11,Business,Basic,42,0.3,3,3,3,0
187,40,Male,Bangalore,Desktop,19.58,9,AI/ML,Premium,37,0.37,9,1,2,1
188,54,Other,Hyderabad,Tablet,26.37,4,Business,Basic,31,0.35,8,4,4,1
189,49,Female,Chennai,Tablet,20.15,17,Web Dev,Free,40,0.36,6,3,1,0
190,50,Male,Bangalore,Mobile,25.33,8,Design,Free,2,0.43,3,2,1,0
191,18,Female,Mumbai,Mobile,14.74,16,Design,Basic,55,0.02,4,3,2,1
192,36,Male,Chennai,Desktop,21.8,1,Data Science,Free,8,0.85,4,2,1,0
193,19,Female,Chennai,Mobile,29.42,10,Business,Free,2,0.88,1,3,3,1
194,43,Female,Chennai,Desktop,5.45,7,Design,Basic,50,0.04,4,4,5,1
195,49,Male,Chennai,Desktop,27.88,15,AI/ML,Premium,35,0.78,2,0,4,0
196,23,Male,Mumbai,Mobile,16.15,1,AI/ML,Premium,12,0.07,4,2,3,0
197,49,Female,Hyderabad,Mobile,19.65,16,AI/ML,Basic,48,0.81,0,1,1,0
198,21,Female,Mumbai,Tablet,26.46,2,Data Science,Premium,33,0.61,7,3,5,0
199,28,Female,Mumbai,Mobile,12.88,3,Design,Premium,29,0.31,8,1,4,0
200,34,Other,Bangalore,Mobile,13.14,15,Design,Basic,15,0.61,8,2,3,0
201,55,Male,Delhi,Mobile,16.29,18,Design,Free,32,0.51,7,2,2,0
202,41,Other,Delhi,Tablet,1.55,15,AI/ML,Premium,34,0.64,1,3,4,0
203,22,Other,Bangalore,Desktop,15.4,4,AI/ML,Basic,15,0.48,1,1,2,0
204,51,Male,Mumbai,Tablet,9.44,3,Data Science,Free,37,0.77,9,0,4,0
205,23,Male,Bangalore,Mobile,27.91,7,Web Dev,Premium,39,0.05,4,0,1,0
206,39,Other,Chennai,Mobile,3.54,19,Design,Basic,4,0.34,5,0,3,0
207,28,Male,Bangalore,Mobile,14.32,8,Data Science,Premium,7,0.56,4,0,4,0
208,33,Female,Bangalore,Desktop,28.48,7,AI/ML,Premium,53,0.59,0,0,2,0
209,50,Female,Chennai,Tablet,27.13,4,Web Dev,Basic,32,0.17,0,3,4,1
210,26,Other,Delhi,Tablet,21.34,10,Business,Free,50,0.07,7,0,4,0
211,23,Other,Chennai,Desktop,18.09,10,Web Dev,Basic,29,0.02,4,2,4,0
212,33,Male,Hyderabad,Tablet,9.14,15,Data Science,Free,1,0.41,7,2,1,0
213,46,Male,Bangalore,Desktop,11.64,18,Web Dev,Basic,37,0.33,2,3,3,0
214,20,Other,Bangalore,Desktop,3.61,10,AI/ML,Basic,55,0.57,4,0,5,0
215,37,Other,Delhi,Tablet,23.8,9,Web Dev,Premium,37,0.45,1,3,4,1
216,53,Female,Mumbai,Tablet,10.39,9,AI/ML,Free,19,0.39,7,3,4,0
217,36,Female,Chennai,Desktop,20.37,16,Web Dev,Free,51,0.84,0,4,1,0
218,43,Male,Mumbai,Tablet,11.37,17,Data Science,Free,8,0.62,4,2,2,0
219,20,Female,Hyderabad,Desktop,14.47,16,Business,Premium,0,0.65,6,1,5,0
220,36,Male,Chennai,Tablet,17.1,6,Design,Basic,1,0.38,9,3,5,1
221,37,Male,Hyderabad,Tablet,24.25,5,Web Dev,Premium,51,0.78,4,3,5,1
222,49,Male,Hyderabad,Tablet,7.12,7,Business,Basic,18,0.15,2,3,1,1
223,24,Female,Hyderabad,Tablet,12.56,13,Web Dev,Basic,15,0.4,3,0,5,0
224,58,Other,Chennai,Tablet,4.77,8,Business,Basic,40,0.05,8,1,2,0
225,50,Other,Chennai,Mobile,3.2,1,AI/ML,Basic,4,0.12,4,0,3,0
226,57,Female,Delhi,Mobile,18.54,10,Business,Basic,31,0.08,2,0,5,0
227,56,Other,Bangalore,Tablet,6.48,1,Design,Premium,55,0.44,6,1,4,0
228,35,Male,Mumbai,Tablet,2.73,14,Business,Free,19,0.7,5,4,2,0
229,57,Other,Mumbai,Tablet,27.02,15,Design,Basic,42,0.31,2,2,2,1
230,18,Female,Hyderabad,Desktop,16.5,6,Design,Premium,51,0.03,9,2,5,0
231,28,Other,Chennai,Mobile,4.9,2,Business,Premium,13,0.71,2,2,4,1
232,45,Male,Chennai,Desktop,2.55,7,Design,Premium,57,0.21,3,0,2,1
233,42,Male,Hyderabad,Mobile,4.48,19,Design,Premium,12,0.72,9,0,1,0
234,40,Female,Bangalore,Mobile,14.67,5,AI/ML,Premium,26,0.01,2,0,5,0
235,48,Female,Mumbai,Tablet,20.39,8,Data Science,Basic,34,0.31,5,4,4,1
236,47,Female,Delhi,Tablet,19.6,3,AI/ML,Free,56,0.62,0,0,3,1
237,59,Male,Bangalore,Desktop,5.19,13,Data Science,Basic,57,0.87,0,1,2,1
238,52,Other,Chennai,Desktop,19.37,6,Data Science,Basic,33,0.75,6,0,3,0
239,24,Other,Hyderabad,Tablet,12.74,14,AI/ML,Free,58,0.45,7,0,4,1
240,33,Female,Mumbai,Tablet,14.48,7,Design,Basic,15,0.72,3,3,1,0
241,43,Other,Hyderabad,Mobile,24.24,11,AI/ML,Free,27,0.54,6,1,4,0
242,19,Other,Chennai,Mobile,10.64,9,Design,Basic,42,0.81,1,3,3,0
243,18,Female,Hyderabad,Tablet,5.26,10,AI/ML,Free,34,0.77,8,3,4,0
244,29,Female,Mumbai,Mobile,26.33,17,AI/ML,Premium,14,0.98,8,0,4,0
245,22,Male,Hyderabad,Desktop,7.15,8,Web Dev,Free,2,0.1,6,4,2,0
246,54,Male,Mumbai,Mobile,9.53,6,Business,Basic,26,0.34,4,1,4,0
247,49,Male,Hyderabad,Tablet,21.49,11,AI/ML,Basic,26,0.19,6,0,1,0
248,26,Male,Hyderabad,Mobile,20.82,3,Business,Free,50,0.63,6,2,2,0
249,58,Other,Mumbai,Tablet,24.21,6,Design,Premium,3,0.66,2,2,1,0
250,52,Other,Hyderabad,Mobile,6.33,17,Web Dev,Basic,20,0.2,6,4,3,1
251,36,Male,Bangalore,Desktop,11.22,7,Web Dev,Premium,21,0.42,2,1,4,0
252,33,Male,Delhi,Desktop,4.65,6,Data Science,Free,4,0.6,2,1,5,0
253,20,Female,Bangalore,Tablet,16.69,13,Business,Free,40,0.66,6,3,4,1
254,37,Other,Delhi,Tablet,9.48,14,Web Dev,Free,38,0.1,6,2,5,1
255,41,Other,Bangalore,Tablet,20.98,19,Design,Premium,22,0.92,5,2,2,1
256,50,Male,Delhi,Mobile,1.01,8,Data Science,Premium,22,0.03,6,2,3,1
257,41,Other,Hyderabad,Mobile,2.73,13,Web Dev,Free,12,0.97,9,1,5,1
258,28,Female,Mumbai,Mobile,13.54,9,Design,Free,59,0.32,9,0,4,0
259,25,Female,Mumbai,Desktop,28.79,5,Business,Free,26,0.32,4,2,4,0
260,53,Other,Chennai,Tablet,26.83,11,Design,Premium,54,0.45,8,2,4,0
261,55,Male,Delhi,Mobile,29.83,7,Design,Premium,49,0.69,0,4,3,0
262,57,Other,Chennai,Desktop,13.09,6,Design,Premium,55,0.16,4,3,5,1
263,37,Female,Chennai,Tablet,2.35,12,AI/ML,Free,14,0.25,2,4,5,0
264,52,Male,Delhi,Desktop,9.87,12,Web Dev,Premium,11,0.96,7,0,3,0
265,42,Other,Mumbai,Tablet,20.6,6,Design,Basic,9,0.88,6,4,1,0
266,52,Male,Delhi,Mobile,4.92,4,Data Science,Premium,48,0.21,0,4,2,0
267,42,Male,Hyderabad,Desktop,9.7,13,AI/ML,Premium,37,0.57,8,2,3,0
268,46,Female,Chennai,Desktop,2.63,12,Design,Basic,27,0.2,4,2,4,1
269,35,Male,Chennai,Desktop,14.77,15,Design,Premium,42,0.55,0,3,1,0
270,35,Other,Delhi,Tablet,7.06,8,Web Dev,Free,34,0.37,0,3,5,1
271,19,Male,Chennai,Tablet,3.65,13,AI/ML,Basic,37,0.36,7,4,2,0
272,52,Male,Mumbai,Desktop,12.93,11,Design,Free,53,0.64,2,1,4,0
273,33,Other,Chennai,Tablet,11.19,11,Design,Basic,55,0.25,8,1,4,0
274,58,Female,Delhi,Desktop,16.59,11,Business,Premium,19,0.4,7,3,4,0
275,53,Female,Mumbai,Mobile,22.72,19,Data Science,Basic,11,0.93,5,0,3,0
276,50,Other,Mumbai,Desktop,4.26,17,Data Science,Premium,2,0.76,5,3,5,0
277,21,Other,Chennai,Desktop,23.94,1,Web Dev,Premium,1,0.38,4,4,1,1
278,50,Female,Delhi,Tablet,1.76,13,AI/ML,Free,27,0.23,1,1,2,0
279,31,Male,Chennai,Tablet,13.85,9,Design,Basic,21,0.66,5,4,4,1
280,38,Other,Hyderabad,Tablet,18.04,11,AI/ML,Basic,34,0.81,7,0,3,0
281,37,Male,Hyderabad,Mobile,28.75,9,Web Dev,Premium,44,0.86,5,2,3,0
282,25,Other,Mumbai,Mobile,17.64,17,Business,Free,51,0.56,6,3,2,1
283,24,Female,Chennai,Mobile,5.6,7,Web Dev,Free,8,0.52,1,2,1,0
284,20,Male,Hyderabad,Tablet,16.01,8,Data Science,Premium,22,0.72,1,1,3,0
285,34,Male,Bangalore,Desktop,12.48,2,Business,Free,16,0.18,2,0,3,1
286,50,Other,Hyderabad,Desktop,14.9,14,Design,Free,13,0.85,9,4,5,0
287,29,Male,Chennai,Desktop,6.72,10,Web Dev,Premium,51,0.07,6,3,5,1
288,39,Other,Chennai,Tablet,15.52,9,AI/ML,Free,31,0.6,7,1,1,0
289,39,Female,Hyderabad,Tablet,5.35,1,AI/ML,Premium,58,0.59,3,0,2,1
290,47,Male,Chennai,Mobile,22.58,12,Data Science,Free,39,0.31,9,4,4,0
291,55,Other,Chennai,Tablet,18.22,14,Data Science,Premium,57,0.04,5,4,3,0
292,55,Male,Bangalore,Desktop,3.28,19,Data Science,Basic,35,0.72,8,1,4,0
293,25,Other,Mumbai,Mobile,26.8,11,Data Science,Free,32,0.02,6,4,4,0
294,44,Other,Chennai,Mobile,18.88,9,Design,Free,9,0.18,3,2,4,0
295,44,Other,Delhi,Tablet,10.17,17,Business,Free,12,0.54,7,2,1,0
296,51,Female,Mumbai,Mobile,2.32,6,Data Science,Free,33,0.94,7,0,2,0
297,38,Male,Mumbai,Mobile,19.33,6,Web Dev,Free,4,0.07,6,2,2,0
298,47,Female,Delhi,Tablet,11.83,10,Design,Premium,5,0.58,4,1,5,0
299,50,Other,Hyderabad,Mobile,27.32,10,Business,Free,32,0.33,9,0,4,0
300,45,Other,Bangalore,Desktop,2.01,17,Design,Premium,4,0.67,9,3,4,0
